K	CVError
1	0.59568
1	0.59589
1	0.59586
1	0.59645
1	0.59607
1	0.59645
1	0.59621
1	0.59594
1	0.59601
1	0.5963
1	0.59581
1	0.59628
1	0.59563
1	0.59611
1	0.59591
1	0.59647
1	0.59558
1	0.59576
1	0.59639
1	0.59568
1	0.59652
1	0.59633
1	0.59614
1	0.596
1	0.59621
1	0.59637
1	0.59635
1	0.59621
1	0.59623
1	0.59619
2	0.47057
2	0.47075
2	0.4756
2	0.47033
2	0.47877
2	0.47964
2	0.48035
2	0.47981
2	0.4756
2	0.47974
2	0.47097
2	0.4757
2	0.46972
2	0.47883
2	0.48043
2	0.46974
2	0.47861
2	0.48066
2	0.47135
2	0.47624
2	0.48519
2	0.48526
2	0.47163
2	0.47825
2	0.47006
2	0.47974
2	0.47032
2	0.48017
2	0.47646
2	0.47576
3	0.36759
3	0.39317
3	0.36754
3	0.36919
3	0.37606
3	0.36904
3	0.37021
3	0.36732
3	0.39287
3	0.37363
3	0.369
3	0.36896
3	0.37525
3	0.36927
3	0.37536
3	0.37335
3	0.36721
3	0.39271
3	0.36755
3	0.3687
3	0.36858
3	0.36773
3	0.37382
3	0.36971
3	0.39964
3	0.3734
3	0.3738
3	0.37365
3	0.36912
3	0.36771
4	0.31794
4	0.29326
4	0.33244
4	0.32353
4	0.29315
4	0.29208
4	0.33187
4	0.29258
4	0.29316
4	0.29238
4	0.29274
4	0.29246
4	0.29301
4	0.32696
4	0.29287
4	0.29334
4	0.29284
4	0.29281
4	0.29295
4	0.29331
4	0.2938
4	0.2931
4	0.29292
4	0.29188
4	0.33249
4	0.32283
4	0.32242
4	0.33235
4	0.32278
4	0.29254
5	0.25472
5	0.2615
5	0.25523
5	0.26883
5	0.26149
5	0.26043
5	0.25386
5	0.25355
5	0.261
5	0.25429
5	0.26086
5	0.25439
5	0.25448
5	0.25477
5	0.26909
5	0.25399
5	0.25402
5	0.26136
5	0.25387
5	0.26109
5	0.25464
5	0.26079
5	0.25382
5	0.25458
5	0.25408
5	0.26138
5	0.2548
5	0.26886
5	0.25444
5	0.26867
6	0.22916
6	0.23526
6	0.22993
6	0.22985
6	0.23138
6	0.23045
6	0.22995
6	0.23034
6	0.23041
6	0.22903
6	0.23036
6	0.23025
6	0.22957
6	0.23028
6	0.23102
6	0.22862
6	0.23097
6	0.2295
6	0.2294
6	0.22926
6	0.22942
6	0.22985
6	0.22941
6	0.22908
6	0.23474
6	0.22905
6	0.25133
6	0.22975
6	0.2297
6	0.2298
7	0.20587
7	0.20466
7	0.20525
7	0.20459
7	0.20487
7	0.20508
7	0.20445
7	0.22769
7	0.20667
7	0.22609
7	0.2314
7	0.22576
7	0.20513
7	0.2057
7	0.20475
7	0.20505
7	0.205
7	0.20491
7	0.22786
7	0.25518
7	0.20544
7	0.22603
7	0.20578
7	0.22664
7	0.20517
7	0.20481
7	0.22612
7	0.20459
7	0.22875
7	0.23412
8	0.20898
8	0.20289
8	0.207
8	0.20747
8	0.23239
8	0.20715
8	0.20561
8	0.20487
8	0.19993
8	0.20641
8	0.20513
8	0.20721
8	0.20102
8	0.20711
8	0.20079
8	0.20463
8	0.19969
8	0.20948
8	0.20786
8	0.20652
8	0.20732
8	0.19965
8	0.20774
8	0.20149
8	0.20703
8	0.2084
8	0.20082
8	0.20064
8	0.20245
8	0.20798
9	0.20649
9	0.20651
9	0.20735
9	0.20676
9	0.20469
9	0.2053
9	0.21037
9	0.20329
9	0.20329
9	0.19886
9	0.20794
9	0.20111
9	0.20651
9	0.20096
9	0.20839
9	0.20285
9	0.20781
9	0.20014
9	0.20168
9	0.21134
9	0.20945
9	0.19837
9	0.20806
9	0.20541
9	0.1993
9	0.20671
9	0.20434
9	0.20234
9	0.20246
9	0.19796
10	0.19897
10	0.20955
10	0.21031
10	0.20136
10	0.2025
10	0.20581
10	0.20616
10	0.20054
10	0.20387
10	0.20926
10	0.20489
10	0.23402
10	0.20004
10	0.20191
10	0.19977
10	0.21098
10	0.20714
10	0.20141
10	0.19874
10	0.20237
10	0.20868
10	0.20968
10	0.21172
10	0.20357
10	0.21621
10	0.20259
10	0.21005
10	0.20171
10	0.20069
10	0.20283
11	0.20568
11	0.2062
11	0.20377
11	0.20572
11	0.20528
11	0.20962
11	0.22165
11	0.22339
11	0.20042
11	0.21797
11	0.20514
11	0.20654
11	0.20558
11	0.2062
11	0.20184
11	0.20348
11	0.22261
11	0.20407
11	0.21765
11	0.2212
11	0.21384
11	0.23942
11	0.21469
11	0.22784
11	0.20392
11	0.20377
11	0.20462
11	0.20509
11	0.20428
11	0.20375
12	0.22414
12	0.20626
12	0.23048
12	0.21163
12	0.21672
12	0.225
12	0.21374
12	0.22149
12	0.21159
12	0.21842
12	0.22466
12	0.22075
12	0.21218
12	0.20403
12	0.21044
12	0.23118
12	0.241
12	0.22706
12	0.20855
12	0.20584
12	0.21247
12	0.22518
12	0.21966
12	0.21822
12	0.25414
12	0.22548
12	0.20739
12	0.2294
12	0.21457
12	0.21252
